No Of Rooms,Arrival date,Departure date,Room night,Adult,Child,F.Child,T.Pax,Room Type,Country,total rate net,Booking date,Travel Agent,arrival_day,arrival_month,arrival_weekday,booking_day_diff,ADR,Occupancy Rate,RevPAR,Occupancy Rate %,arrival_month_year
1,2025-08-14,2025-08-21,7,2,0,0,2,Deluxe GV,Germany,46473.19,2025-03-19,Agoda.com,14,8,3,148,6639.027143,1.03%,68.54452802,1.032448378,2025-08
1,2025-07-06,2025-07-16,10,2,0,0,2,Deluxe GV,Germany,49560.51,2025-01-14,Agoda.com,6,7,6,173,4956.051,1.47%,73.09809735,1.474926254,2025-07
1,2025-07-14,2025-07-23,9,1,1,0,2,Deluxe GV,Germany,49982.37,2025-04-29,Agoda.com,14,7,0,76,5553.596667,1.33%,73.72030973,1.327433628,2025-07
1,2025-11-04,2025-11-13,9,4,0,0,4,Deluxe GV,Germany,55148.8,2025-05-08,Agoda.com,4,11,1,180,6127.644444,1.33%,81.34041298,1.327433628,2025-11
1,2025-05-16,2025-05-23,7,2,0,0,2,Deluxe GV,Germany,41709.43,2025-04-02,Agoda.com,16,5,4,44,5958.49,1.03%,61.51833333,1.032448378,2025-05
1,2025-10-23,2025-10-29,6,2,0,0,2,Deluxe GV,Germany,39834.16,2025-04-23,Agoda.com,23,10,3,183,6639.026667,0.88%,58.75244838,0.8849557522,2025-10
1,2025-06-11,2025-06-21,10,3,0,0,3,Deluxe GV,Germany,79739.94,2025-02-28,Agoda.com,11,6,2,103,7973.994,1.47%,117.610531,1.474926254,2025-06
1,2025-07-05,2025-07-12,7,2,0,0,2,Deluxe SV,Germany,38679.35,2025-01-22,Agoda.com,5,7,5,164,5525.621429,1.03%,57.04918879,1.032448378,2025-07
1,2025-07-27,2025-08-07,11,2,2,0,4,Deluxe SV,Germany,61341.9,2025-01-28,Agoda.com,27,7,6,180,5576.536364,1.62%,90.47477876,1.622418879,2025-07
1,2025-10-19,2025-10-26,7,2,1,0,3,Deluxe SV,Germany,43712.06,2025-04-02,Agoda.com,19,10,6,200,6244.58,1.03%,64.4720649,1.032448378,2025-10
1,2025-05-28,2025-06-05,8,2,0,0,2,Deluxe SV,Germany,36081.04,2025-05-07,Agoda.com,28,5,2,21,4510.13,1.18%,53.21687316,1.179941003,2025-05
1,2025-08-16,2025-08-26,10,2,0,0,2,Deluxe SV,Germany,57511.01,2025-01-18,Agoda.com,16,8,5,210,5751.101,1.47%,84.82449853,1.474926254,2025-08
1,2025-08-18,2025-08-29,11,2,0,0,2,Deluxe SV,Germany,67484.09,2025-03-05,Agoda.com,18,8,0,166,6134.917273,1.62%,99.53405605,1.622418879,2025-08
1,2025-05-27,2025-06-03,7,2,0,0,2,Deluxe SV,Germany,36893.43,2025-05-07,Agoda.com,27,5,1,20,5270.49,1.03%,54.4150885,1.032448378,2025-05
1,2025-06-15,2025-06-29,14,1,1,0,2,Deluxe SV,Germany,78220.34,2025-04-18,Agoda.com,15,6,6,58,5587.167143,2.06%,115.369233,2.064896755,2025-06
1,2025-07-03,2025-07-10,7,2,1,0,3,Deluxe SV,Poland,39965.99,2025-04-24,Agoda.com,3,7,3,70,5709.427143,1.03%,58.94688791,1.032448378,2025-07
1,2025-07-28,2025-08-03,6,2,2,0,4,Deluxe SV,Hungaria,54243.84,2025-04-13,Agoda.com,28,7,0,106,9040.64,0.88%,80.00566372,0.8849557522,2025-07
1,2025-06-03,2025-06-10,7,2,2,1,5,Deluxe SV,Czech Republic,39828.26,2025-04-30,Agoda.com,3,6,1,34,5689.751429,1.03%,58.74374631,1.032448378,2025-06
1,2025-05-22,2025-05-29,7,2,0,0,2,Deluxe SV,Germany,34692.36,2025-04-18,Agoda.com,22,5,3,34,4956.051429,1.03%,51.16867257,1.032448378,2025-05
1,2025-05-20,2025-06-02,13,2,0,0,2,Deluxe SV,Germany,61213.78,2025-05-07,Agoda.com,20,5,1,13,4708.752308,1.92%,90.28581121,1.91740413,2025-05
1,2025-09-03,2025-09-17,14,2,0,0,2,Deluxe SV,Germany,83311.79,2025-02-02,Agoda.com,3,9,2,213,5950.842143,2.06%,122.8787463,2.064896755,2025-09
1,2025-05-14,2025-05-17,3,2,1,0,3,Deluxe SV,United Arab Emirates,22325.64,2025-04-02,Agoda.com,14,5,2,42,7441.88,0.44%,32.92867257,0.4424778761,2025-05
1,2025-06-21,2025-07-04,13,2,1,0,3,Deluxe SV,Germany,56740.57,2025-01-18,Agoda.com,21,6,5,154,4364.659231,1.92%,83.68815634,1.91740413,2025-06
1,2025-07-16,2025-07-25,9,2,1,0,3,Deluxe SV,Germany,57691.72,2025-04-23,Agoda.com,16,7,2,84,6410.191111,1.33%,85.09103245,1.327433628,2025-07
1,2025-06-01,2025-06-09,8,2,0,0,2,Deluxe SV,Germany,49647.79,2025-04-25,Agoda.com,1,6,6,37,6205.97375,1.18%,73.22682891,1.179941003,2025-06
1,2025-06-09,2025-06-14,5,2,1,0,3,Deluxe SV,Germany,21823.3,2025-01-06,Agoda.com,9,6,0,154,4364.66,0.74%,32.18775811,0.7374631268,2025-06
1,2025-09-04,2025-09-18,14,2,0,0,2,Deluxe SV,Rumania,75235.08,2025-04-22,Agoda.com,4,9,3,135,5373.934286,2.06%,110.9661947,2.064896755,2025-09
1,2025-05-27,2025-06-03,7,2,0,0,2,JSUIT,Germany,31570.91,2025-05-09,Agoda.com,27,5,1,18,4510.13,1.03%,46.56476401,1.032448378,2025-05
1,2025-05-14,2025-05-21,7,2,0,0,2,JSUIT,Belgium,40798.18,2025-03-11,Agoda.com,14,5,2,64,5828.311429,1.03%,60.17430678,1.032448378,2025-05
1,2025-06-15,2025-06-21,6,2,0,0,2,JSUIT,Armenia,44097.34,2025-05-01,Agoda.com,15,6,6,45,7349.556667,0.88%,65.04032448,0.8849557522,2025-06
1,2025-05-16,2025-05-24,8,2,1,0,3,Deluxe GV,Germany,51890.27,2025-01-24,Alls Tours,16,5,4,112,6486.28375,1.18%,76.53432153,1.179941003,2025-05
1,2025-07-06,2025-07-13,7,2,0,0,2,Deluxe GV,Germany,46304.78,2025-03-13,Alls Tours,6,7,6,115,6614.968571,1.03%,68.29613569,1.032448378,2025-07
1,2025-07-16,2025-07-23,7,2,0,0,2,Deluxe GV,Rumania,44253.23,2025-04-21,Alls Tours,16,7,2,86,6321.89,1.03%,65.27025074,1.032448378,2025-07
1,2025-10-10,2025-10-17,7,2,0,0,2,Deluxe GV,Germany,41871.3,2025-04-24,Alls Tours,10,10,4,169,5981.614286,1.03%,61.75707965,1.032448378,2025-10
1,2025-07-09,2025-07-19,10,2,0,0,2,Deluxe GV,Germany,64851.65,2025-04-11,Alls Tours,9,7,2,89,6485.165,1.47%,95.65140118,1.474926254,2025-07
1,2025-05-18,2025-05-27,9,2,0,0,2,Deluxe GV,Germany,40671.73,2025-01-12,Alls Tours,18,5,6,126,4519.081111,1.33%,59.98780236,1.327433628,2025-05
1,2025-06-08,2025-06-18,10,2,1,0,3,Deluxe GV,Germany,60778.49,2025-03-08,Alls Tours,8,6,6,92,6077.849,1.47%,89.64379056,1.474926254,2025-06
1,2025-05-16,2025-05-23,7,2,1,0,3,Deluxe GV,Germany,37359.49,2025-03-06,Alls Tours,16,5,4,71,5337.07,1.03%,55.10249263,1.032448378,2025-05
1,2025-05-29,2025-06-07,9,2,0,0,2,Deluxe GV,Germany,46457.52,2025-05-09,Alls Tours,29,5,3,20,5161.946667,1.33%,68.52141593,1.327433628,2025-05
1,2025-07-23,2025-08-01,9,2,2,0,4,Deluxe GV,Germany,50188.83,2025-01-19,Alls Tours,23,7,2,185,5576.536667,1.33%,74.02482301,1.327433628,2025-07
1,2025-09-26,2025-10-04,8,2,0,0,2,Deluxe GV,Germany,45168,2025-03-13,Alls Tours,26,9,4,197,5646,1.18%,66.61946903,1.179941003,2025-09
1,2025-07-03,2025-07-13,10,2,0,0,2,Deluxe GV,Germany,49560.51,2025-01-26,Alls Tours,3,7,3,158,4956.051,1.47%,73.09809735,1.474926254,2025-07
1,2025-09-18,2025-09-21,3,2,0,0,2,Deluxe GV,Germany,16932.71,2025-02-23,Alls Tours,18,9,3,207,5644.236667,0.44%,24.97449853,0.4424778761,2025-09
1,2025-08-08,2025-08-15,7,1,0,0,1,Deluxe GV,Germany,44632.43,2025-04-24,Alls Tours,8,8,4,106,6376.061429,1.03%,65.82954277,1.032448378,2025-08
1,2025-05-31,2025-06-09,9,2,0,0,2,Deluxe GV,Russia,40682.88,2025-01-11,Alls Tours,31,5,5,140,4520.32,1.33%,60.00424779,1.327433628,2025-05
1,2025-09-21,2025-09-28,7,2,1,0,3,Deluxe GV,Germany,44632.43,2025-04-23,Alls Tours,21,9,6,151,6376.061429,1.03%,65.82954277,1.032448378,2025-09
1,2025-05-18,2025-05-25,7,2,0,0,2,Deluxe GV,Russia,37617.54,2025-04-20,Alls Tours,18,5,6,28,5373.934286,1.03%,55.48309735,1.032448378,2025-05
1,2025-07-29,2025-08-05,7,2,2,0,4,Deluxe GV,Czech Republic,58414.54,2025-03-28,Alls Tours,29,7,1,123,8344.934286,1.03%,86.15713864,1.032448378,2025-07
1,2025-06-11,2025-06-20,9,2,0,0,2,Deluxe GV,Germany,48617.75,2025-02-27,Alls Tours,11,6,2,104,5401.972222,1.33%,71.70759587,1.327433628,2025-06
1,2025-10-25,2025-11-01,7,2,2,0,4,Deluxe GV,Germany,44871.34,2025-04-19,Alls Tours,25,10,5,189,6410.191429,1.03%,66.1819174,1.032448378,2025-10
1,2025-06-19,2025-06-28,9,2,0,0,2,Deluxe GV,Germany,56619.16,2025-03-17,Alls Tours,19,6,3,94,6291.017778,1.33%,83.50908555,1.327433628,2025-06
1,2025-07-05,2025-07-15,10,2,0,0,2,Deluxe GV,Germany,57947.42,2025-04-30,Alls Tours,5,7,5,66,5794.742,1.47%,85.46817109,1.474926254,2025-07
1,2025-08-03,2025-08-10,7,2,0,0,2,Deluxe GV,Turkey,47924.1,2025-02-02,Alls Tours,3,8,6,182,6846.3,1.03%,70.68451327,1.032448378,2025-08
1,2025-08-03,2025-08-10,7,3,0,0,3,Deluxe GV,Turkey,70604.17,2025-02-02,Alls Tours,3,8,6,182,10086.31,1.03%,104.135944,1.032448378,2025-08
1,2025-05-26,2025-06-03,8,2,3,1,6,Deluxe GV,Russia,76151.25,2025-04-16,Alls Tours,26,5,0,40,9518.90625,1.18%,112.3174779,1.179941003,2025-05
1,2025-06-15,2025-06-22,7,2,2,1,5,Deluxe GV,Russia,45637.57,2025-02-01,Alls Tours,15,6,6,134,6519.652857,1.03%,67.31205015,1.032448378,2025-06
1,2025-07-07,2025-07-16,9,1,1,0,2,Deluxe GV,Russia,52896.83,2025-05-08,Alls Tours,7,7,0,60,5877.425556,1.33%,78.0189233,1.327433628,2025-07
1,2025-06-13,2025-06-20,7,1,1,0,2,Deluxe GV,Germany,34355.54,2025-02-26,Alls Tours,13,6,4,107,4907.934286,1.03%,50.67188791,1.032448378,2025-06
1,2025-10-29,2025-11-10,12,2,0,0,2,Deluxe GV,Germany,71779.37,2025-03-28,Alls Tours,29,10,2,215,5981.614167,1.77%,105.8692773,1.769911504,2025-10
1,2025-05-15,2025-05-21,6,2,0,0,2,Deluxe GV,Germany,33120.16,2025-05-05,Alls Tours,15,5,3,10,5520.026667,0.88%,48.84979351,0.8849557522,2025-05
1,2025-08-05,2025-08-15,10,2,1,0,3,Deluxe GV,Germany,73932.33,2025-05-12,Alls Tours,5,8,1,85,7393.233,1.47%,109.0447345,1.474926254,2025-08
1,2025-05-28,2025-06-06,9,2,0,0,2,Deluxe GV,Germany,43864.24,2025-05-09,Alls Tours,28,5,2,19,4873.804444,1.33%,64.69651917,1.327433628,2025-05
1,2025-06-15,2025-06-22,7,2,1,0,3,Deluxe GV,Germany,40057.96,2025-01-24,Alls Tours,15,6,6,142,5722.565714,1.03%,59.08253687,1.032448378,2025-06
1,2025-06-08,2025-06-17,9,2,0,0,2,Deluxe GV,Germany,48708.39,2025-01-23,Alls Tours,8,6,6,136,5412.043333,1.33%,71.84128319,1.327433628,2025-06
1,2025-06-15,2025-06-25,10,2,0,0,2,Deluxe GV,Germany,57186.5,2025-03-17,Alls Tours,15,6,6,90,5718.65,1.47%,84.34587021,1.474926254,2025-06
1,2025-05-24,2025-05-31,7,2,1,0,3,Deluxe GV,Luxemburg,35828.14,2025-04-26,Alls Tours,24,5,5,28,5118.305714,1.03%,52.84386431,1.032448378,2025-05
1,2025-08-22,2025-08-29,7,2,1,0,3,Deluxe GV,Germany,51286.57,2025-05-12,Alls Tours,22,8,4,102,7326.652857,1.03%,75.64390855,1.032448378,2025-08
1,2025-08-22,2025-08-29,7,2,1,0,3,Deluxe GV,Germany,51286.57,2025-05-12,Alls Tours,22,8,4,102,7326.652857,1.03%,75.64390855,1.032448378,2025-08
1,2025-06-19,2025-06-28,9,2,2,0,4,Deluxe GV,Russia,72811.46,2025-02-28,Alls Tours,19,6,3,111,8090.162222,1.33%,107.3915339,1.327433628,2025-06
1,2025-08-22,2025-09-01,10,2,0,0,2,Deluxe GV,Germany,51272.58,2025-01-21,Alls Tours,22,8,4,213,5127.258,1.47%,75.62327434,1.474926254,2025-08
1,2025-06-02,2025-06-11,9,2,1,0,3,Deluxe GV,Germany,58149.95,2025-05-10,Alls Tours,2,6,0,23,6461.105556,1.33%,85.76688791,1.327433628,2025-06
1,2025-08-01,2025-08-08,7,2,0,0,2,Deluxe GV,Russia,49787.09,2025-05-06,Alls Tours,1,8,4,87,7112.441429,1.03%,73.43228614,1.032448378,2025-08
1,2025-08-03,2025-08-11,8,2,0,0,2,Deluxe GV,Russia,44254.74,2025-02-27,Alls Tours,3,8,6,157,5531.8425,1.18%,65.27247788,1.179941003,2025-08
1,2025-08-05,2025-08-15,10,2,0,0,2,Deluxe GV,Germany,73932.33,2025-05-12,Alls Tours,5,8,1,85,7393.233,1.47%,109.0447345,1.474926254,2025-08
1,2025-05-27,2025-06-03,7,1,1,0,2,Deluxe GV,Germany,31445.58,2025-05-08,Alls Tours,27,5,1,19,4492.225714,1.03%,46.3799115,1.032448378,2025-05
1,2025-06-02,2025-06-11,9,2,0,0,2,Deluxe GV,Germany,50798.12,2025-03-08,Alls Tours,2,6,0,86,5644.235556,1.33%,74.92348083,1.327433628,2025-06
1,2025-08-09,2025-08-16,7,1,1,0,2,Deluxe GV,Germany,46089.37,2025-05-08,Alls Tours,9,8,5,93,6584.195714,1.03%,67.97842183,1.032448378,2025-08
1,2025-09-11,2025-09-21,10,1,1,0,2,Deluxe GV,Russia,51862.6,2025-05-09,Alls Tours,11,9,3,125,5186.26,1.47%,76.49351032,1.474926254,2025-09
1,2025-06-20,2025-07-02,12,2,0,0,2,Deluxe GV,Germany,80440.43,2025-05-06,Alls Tours,20,6,4,45,6703.369167,1.77%,118.6437021,1.769911504,2025-06
1,2025-08-05,2025-08-15,10,2,1,0,3,Deluxe GV,Russia,66382.11,2025-04-24,Alls Tours,5,8,1,103,6638.211,1.47%,97.90871681,1.474926254,2025-08
1,2025-08-22,2025-08-29,7,2,1,0,3,Deluxe GV,Germany,52312.69,2025-05-12,Alls Tours,22,8,4,102,7473.241429,1.03%,77.15735988,1.032448378,2025-08
1,2025-07-19,2025-07-29,10,2,1,0,3,Deluxe GV,Germany,66390.27,2025-04-30,Alls Tours,19,7,5,80,6639.027,1.47%,97.92075221,1.474926254,2025-07
1,2025-05-14,2025-05-27,13,2,1,0,3,Deluxe GV,Russia,71913.95,2025-05-02,Alls Tours,14,5,2,12,5531.842308,1.92%,106.0677729,1.91740413,2025-05
1,2025-05-25,2025-06-04,10,2,2,1,5,Deluxe GV,Germany,74385.53,2025-05-01,Alls Tours,25,5,6,24,7438.553,1.47%,109.7131711,1.474926254,2025-05
1,2025-05-16,2025-05-19,3,2,2,0,4,Deluxe GV,Egypt,20982.15,2025-04-16,Alls Tours,16,5,4,30,6994.05,0.44%,30.94712389,0.4424778761,2025-05
1,2025-08-12,2025-08-23,11,2,1,0,3,Deluxe GV,Germany,64382.22,2025-01-24,Alls Tours,12,8,1,200,5852.929091,1.62%,94.95902655,1.622418879,2025-08
1,2025-06-11,2025-06-14,3,2,0,0,2,Deluxe GV,Egypt,21146.64,2025-04-18,Alls Tours,11,6,2,54,7048.88,0.44%,31.18973451,0.4424778761,2025-06
1,2025-06-11,2025-06-14,3,1,0,0,1,Deluxe GV,Egypt,16917.27,2025-04-18,Alls Tours,11,6,2,54,5639.09,0.44%,24.95172566,0.4424778761,2025-06
1,2025-07-20,2025-07-24,4,2,0,0,2,Deluxe GV,Egypt,32861.11,2025-01-06,Alls Tours,20,7,6,195,8215.2775,0.59%,48.46771386,0.5899705015,2025-07
1,2025-06-18,2025-06-22,4,2,0,0,2,Deluxe GV,England,32035.44,2025-03-30,Alls Tours,18,6,2,80,8008.86,0.59%,47.2499115,0.5899705015,2025-06
1,2025-06-01,2025-06-05,4,2,2,0,4,Deluxe GV,France,35690.35,2025-05-04,Alls Tours,1,6,6,28,8922.5875,0.59%,52.64063422,0.5899705015,2025-06
1,2025-07-05,2025-07-08,3,8,0,0,8,Deluxe GV,Saudi Arabia,26536.71,2025-03-06,Alls Tours,5,7,5,121,8845.57,0.44%,39.13969027,0.4424778761,2025-07
1,2025-05-29,2025-06-02,4,2,2,1,5,Deluxe GV,Egypt,33223.68,2025-05-11,Alls Tours,29,5,3,18,8305.92,0.59%,49.00247788,0.5899705015,2025-05
1,2025-07-09,2025-07-14,5,2,0,0,2,Deluxe GV,Saudi Arabia,37275.7,2025-02-28,Alls Tours,9,7,2,131,7455.14,0.74%,54.97890855,0.7374631268,2025-07
1,2025-07-06,2025-07-10,4,2,1,0,3,Deluxe GV,Egypt,27454.48,2025-02-23,Alls Tours,6,7,6,133,6863.62,0.59%,40.49333333,0.5899705015,2025-07
1,2025-07-06,2025-07-10,4,1,1,0,2,Deluxe GV,Egypt,27454.48,2025-02-23,Alls Tours,6,7,6,133,6863.62,0.59%,40.49333333,0.5899705015,2025-07
1,2025-07-10,2025-07-16,6,2,2,0,4,Deluxe GV,Saudi Arabia,54396.72,2025-01-28,Alls Tours,10,7,3,163,9066.12,0.88%,80.23115044,0.8849557522,2025-07
1,2025-07-10,2025-07-16,6,2,0,0,2,Deluxe GV,Saudi Arabia,52606.26,2025-01-28,Alls Tours,10,7,3,163,8767.71,0.88%,77.59035398,0.8849557522,2025-07
1,2025-07-05,2025-07-08,3,4,1,0,5,Deluxe GV,Saudi Arabia,25960.32,2025-04-02,Alls Tours,5,7,5,94,8653.44,0.44%,38.28955752,0.4424778761,2025-07
1,2025-06-25,2025-06-27,2,2,0,0,2,Deluxe GV,Saudi Arabia,16093.14,2025-04-18,Alls Tours,25,6,2,68,8046.57,0.29%,23.73619469,0.2949852507,2025-06
1,2025-06-07,2025-06-14,7,2,0,0,2,Deluxe GV,Germany,66415.44,2025-02-18,Alls Tours,7,6,5,109,9487.92,1.03%,97.95787611,1.032448378,2025-06
1,2025-06-20,2025-07-01,11,2,0,0,2,Deluxe GV,Germany,48011.25,2025-01-28,Alls Tours,20,6,4,143,4364.659091,1.62%,70.8130531,1.622418879,2025-06
1,2025-07-12,2025-07-18,6,2,0,0,2,Deluxe GV,Egypt,47579.88,2025-05-08,Alls Tours,12,7,5,65,7929.98,0.88%,70.17681416,0.8849557522,2025-07
1,2025-06-13,2025-06-24,11,2,1,0,3,Deluxe GV,Germany,55212.02,2025-01-28,Alls Tours,13,6,4,136,5019.274545,1.62%,81.43365782,1.622418879,2025-06
1,2025-07-01,2025-07-02,1,1,0,0,1,Deluxe GV,Saudi Arabia,9851.37,2025-04-25,Alls Tours,1,7,1,67,9851.37,0.15%,14.53004425,0.1474926254,2025-07
1,2025-05-15,2025-05-18,3,2,0,0,2,Deluxe GV,Egypt,23686.29,2025-05-08,Alls Tours,15,5,3,7,7895.43,0.44%,34.93553097,0.4424778761,2025-05
1,2025-05-15,2025-05-18,3,2,2,1,5,Deluxe GV,Turkey,23705.07,2025-05-06,Alls Tours,15,5,3,9,7901.69,0.44%,34.96323009,0.4424778761,2025-05
1,2025-05-29,2025-06-08,10,2,2,0,4,Deluxe GV,Germany,47283.35,2024-12-19,Alls Tours,29,5,3,161,4728.335,1.47%,69.73945428,1.474926254,2025-05
1,2025-05-19,2025-05-26,7,2,0,0,2,Deluxe GV,Russia,35735.25,2025-04-24,Alls Tours,19,5,0,25,5105.035714,1.03%,52.70685841,1.032448378,2025-05
1,2025-06-20,2025-06-27,7,2,1,0,3,Deluxe GV,Egypt,52085.67,2025-03-21,Alls Tours,20,6,4,91,7440.81,1.03%,76.82252212,1.032448378,2025-06
1,2025-07-16,2025-07-24,8,3,1,0,4,Deluxe GV,Germany,65273.51,2025-01-20,Alls Tours,16,7,2,177,8159.18875,1.18%,96.27361357,1.179941003,2025-07
1,2025-06-01,2025-06-12,11,2,2,1,5,Deluxe GV,Germany,74414.06,2025-04-19,Alls Tours,1,6,6,43,6764.914545,1.62%,109.7552507,1.622418879,2025-06
1,2025-09-18,2025-09-27,9,2,1,0,3,Deluxe GV,Germany,45979.15,2025-02-09,Alls Tours,18,9,3,221,5108.794444,1.33%,67.81585546,1.327433628,2025-09
1,2025-05-15,2025-05-25,10,2,0,0,2,Deluxe GV,Russia,53739.34,2025-02-04,Alls Tours,15,5,3,100,5373.934,1.47%,79.26156342,1.474926254,2025-05
1,2025-08-20,2025-08-26,6,2,0,0,2,Deluxe GV,Egypt,53446.62,2025-04-22,Alls Tours,20,8,2,120,8907.77,0.88%,78.82982301,0.8849557522,2025-08
1,2025-07-30,2025-08-03,4,2,0,0,2,Deluxe GV,Netherlands Antilles,28722.04,2025-01-10,Alls Tours,30,7,2,201,7180.51,0.59%,42.36289086,0.5899705015,2025-07
1,2025-07-01,2025-07-05,4,2,2,0,4,Deluxe GV,Egypt,31390.96,2025-04-25,Alls Tours,1,7,1,67,7847.74,0.59%,46.29935103,0.5899705015,2025-07
1,2025-05-14,2025-05-27,13,2,2,0,4,Deluxe GV,Germany,73600.55,2025-03-20,Alls Tours,14,5,2,55,5661.580769,1.92%,108.5553835,1.91740413,2025-05
1,2025-05-17,2025-05-30,13,2,1,0,3,Deluxe GV,Germany,61453.8,2025-05-04,Alls Tours,17,5,5,13,4727.215385,1.92%,90.63982301,1.91740413,2025-05
1,2025-08-06,2025-08-13,7,2,0,0,2,Deluxe GV,Poland,46467.48,2025-04-26,Alls Tours,6,8,2,102,6638.211429,1.03%,68.53610619,1.032448378,2025-08
1,2025-08-06,2025-08-12,6,2,1,0,3,Deluxe GV,Poland,39829.27,2025-04-26,Alls Tours,6,8,2,102,6638.211667,0.88%,58.74523599,0.8849557522,2025-08
1,2025-08-13,2025-08-22,9,2,0,0,2,Deluxe GV,Germany,44054.28,2025-01-11,Alls Tours,13,8,2,214,4894.92,1.33%,64.97681416,1.327433628,2025-08
1,2025-06-20,2025-06-29,9,2,1,0,3,Deluxe GV,Russia,52914.99,2025-04-30,Alls Tours,20,6,4,51,5879.443333,1.33%,78.04570796,1.327433628,2025-06
1,2025-08-15,2025-08-24,9,2,1,0,3,Deluxe GV,Russia,59743.9,2025-04-11,Alls Tours,15,8,4,126,6638.211111,1.33%,88.11784661,1.327433628,2025-08
1,2025-08-01,2025-08-04,3,2,1,0,3,Deluxe GV,Saudi Arabia,28517.37,2024-12-26,Alls Tours,1,8,4,218,9505.79,0.44%,42.0610177,0.4424778761,2025-08
1,2025-08-01,2025-08-04,3,2,1,0,3,Deluxe GV,Saudi Arabia,22812.99,2024-12-26,Alls Tours,1,8,4,218,7604.33,0.44%,33.64747788,0.4424778761,2025-08
1,2025-06-11,2025-06-20,9,2,0,0,2,Deluxe GV,Germany,47167.53,2024-11-25,Alls Tours,11,6,2,198,5240.836667,1.33%,69.56862832,1.327433628,2025-06
1,2025-07-06,2025-07-14,8,2,0,0,2,Deluxe GV,Germany,48376.61,2025-04-08,Alls Tours,6,7,6,89,6047.07625,1.18%,71.35193215,1.179941003,2025-07
1,2025-09-11,2025-09-17,6,1,0,0,1,Deluxe GV,Bulgaria,33191.06,2025-05-09,Alls Tours,11,9,3,125,5531.843333,0.88%,48.95436578,0.8849557522,2025-09
1,2025-05-22,2025-05-30,8,2,0,0,2,Deluxe GV,Germany,46626.49,2025-04-15,Alls Tours,22,5,3,37,5828.31125,1.18%,68.77063422,1.179941003,2025-05
1,2025-07-27,2025-08-10,14,2,1,0,3,Deluxe GV,Germany,73434.38,2025-02-18,Alls Tours,27,7,6,159,5245.312857,2.06%,108.310295,2.064896755,2025-07
1,2025-07-23,2025-07-26,3,2,1,0,3,Deluxe GV,Egypt,24738.15,2025-03-08,Alls Tours,23,7,2,137,8246.05,0.44%,36.4869469,0.4424778761,2025-07
1,2025-05-13,2025-05-24,11,2,1,0,3,Deluxe GV,Germany,65002.74,2025-03-30,Alls Tours,13,5,1,44,5909.34,1.62%,95.87424779,1.622418879,2025-05
1,2025-05-28,2025-05-30,2,2,1,0,3,Deluxe GV,Spain,15267.42,2025-04-13,Alls Tours,28,5,2,45,7633.71,0.29%,22.51831858,0.2949852507,2025-05
1,2025-05-28,2025-05-30,2,2,1,0,3,Deluxe GV,Spain,15267.42,2025-04-13,Alls Tours,28,5,2,45,7633.71,0.29%,22.51831858,0.2949852507,2025-05
